COVERSCALE_LU_VERSION; Default
ID;Entry;Percentage;Name
"""13""";"""1""";1;Presence only
"""109""";"""1""";1;Counts
"""110""";"""I""";17;Frequency
"""110""";"""II""";33;Frequency
"""110""";"""III""";50;Frequency
"""110""";"""IV""";67;Frequency
"""110""";"""V""";83;Frequency
"""00""";"""0.01""";0.01;Percentage (%)
"""05""";"""1""";1;Ordinal scale (1-9)
"""05""";"""2""";2;Ordinal scale (1-9)
"""05""";"""3""";3;Ordinal scale (1-9)
"""05""";"""4""";4;Ordinal scale (1-9)
"""05""";"""5""";8;Ordinal scale (1-9)
"""05""";"""6""";18;Ordinal scale (1-9)
"""05""";"""7""";38;Ordinal scale (1-9)
"""05""";"""8""";68;Ordinal scale (1-9)
"""05""";"""9""";88;Ordinal scale (1-9)
"""08""";"""r""";2;Constancy classes
"""08""";"""+""";7;Constancy classes
"""08""";"""1""";10;Constancy classes
"""08""";"""2""";30;Constancy classes
"""08""";"""3""";50;Constancy classes
"""08""";"""4""";70;Constancy classes
"""08""";"""5""";90;Constancy classes
"""06""";"""r""";1;Barkman, Doing & Segal
"""06""";"""+r""";1;Barkman, Doing & Segal
"""06""";"""+p""";1;Barkman, Doing & Segal
"""06""";"""1p""";1;Barkman, Doing & Segal
"""06""";"""+a""";1;Barkman, Doing & Segal
"""06""";"""1a""";2;Barkman, Doing & Segal
"""06""";"""+b""";2;Barkman, Doing & Segal
"""06""";"""1b""";3;Barkman, Doing & Segal
"""06""";"""2m""";4;Barkman, Doing & Segal
"""06""";"""2a""";8;Barkman, Doing & Segal
"""06""";"""2b""";18;Barkman, Doing & Segal
"""06""";"""3a""";31;Barkman, Doing & Segal
"""06""";"""3b""";43;Barkman, Doing & Segal
"""06""";"""4a""";56;Barkman, Doing & Segal
"""06""";"""4b""";68;Barkman, Doing & Segal
"""06""";"""5a""";81;Barkman, Doing & Segal
"""06""";"""5b""";93;Barkman, Doing & Segal
"""02""";"""r""";1;Braun/Blanquet (new)
"""02""";"""+""";2;Braun/Blanquet (new)
"""02""";"""1""";3;Braun/Blanquet (new)
"""02""";"""2m""";4;Braun/Blanquet (new)
"""02""";"""2a""";8;Braun/Blanquet (new)
"""02""";"""2b""";18;Braun/Blanquet (new)
"""02""";"""3""";38;Braun/Blanquet (new)
"""02""";"""4""";68;Braun/Blanquet (new)
"""02""";"""5""";88;Braun/Blanquet (new)
"""01""";"""r""";1;Braun/Blanquet (old)
"""01""";"""+""";2;Braun/Blanquet (old)
"""01""";"""1""";3;Braun/Blanquet (old)
"""01""";"""2""";13;Braun/Blanquet (old)
"""01""";"""3""";38;Braun/Blanquet (old)
"""01""";"""4""";68;Braun/Blanquet (old)
"""01""";"""5""";88;Braun/Blanquet (old)
"""01""";"""x""";2;Braun/Blanquet (old)
"""111""";"""1""";0.1;CEN
"""111""";"""2""";0.6;CEN
"""111""";"""3""";3.5;CEN
"""111""";"""4""";8;CEN
"""111""";"""5""";55;CEN
"""112""";"""1A""";0.1;CEN Modified
"""112""";"""1B""";0.5;CEN Modified
"""112""";"""1C""";2.5;CEN Modified
"""112""";"""1D""";7.5;CEN Modified
"""112""";"""2E""";15;CEN Modified
"""112""";"""3E""";25;CEN Modified
"""112""";"""4E""";35;CEN Modified
"""112""";"""5E""";45;CEN Modified
"""112""";"""6E""";55;CEN Modified
"""112""";"""7E""";65;CEN Modified
"""112""";"""8E""";75;CEN Modified
"""112""";"""9E""";85;CEN Modified
"""112""";"""10E""";95;CEN Modified
"""113""";"""r""";1;DAFOR
"""113""";"""o""";15;DAFOR
"""113""";"""f""";30;DAFOR
"""113""";"""a""";60;DAFOR
"""113""";"""d""";90;DAFOR
"""107""";"""1""";2.5;Daubenmire
"""107""";"""2""";15;Daubenmire
"""107""";"""3""";37.5;Daubenmire
"""107""";"""4""";62.5;Daubenmire
"""107""";"""5""";85;Daubenmire
"""107""";"""6""";97.5;Daubenmire
"""105""";"""r""";0.5;Dengler
"""105""";"""+""";1.8;Dengler
"""105""";"""1""";3.8;Dengler
"""105""";"""2a""";7.5;Dengler
"""105""";"""2b""";17.5;Dengler
"""105""";"""3""";37.5;Dengler
"""105""";"""4""";62.5;Dengler
"""105""";"""5""";87.5;Dengler
"""07""";"""r""";1;Doing
"""07""";"""p""";1;Doing
"""07""";"""a""";2;Doing
"""07""";"""m""";4;Doing
"""07""";"""1""";10;Doing
"""07""";"""2""";20;Doing
"""07""";"""3""";30;Doing
"""07""";"""4""";40;Doing
"""07""";"""5""";50;Doing
"""07""";"""6""";60;Doing
"""07""";"""7""";70;Doing
"""07""";"""8""";80;Doing
"""07""";"""9""";90;Doing
"""07""";"""10""";97;Doing
"""09""";"""+""";0.1;Domin
"""09""";"""1""";2;Domin
"""09""";"""2""";3;Domin
"""09""";"""3""";4;Domin
"""09""";"""4""";7;Domin
"""09""";"""5""";18;Domin
"""09""";"""6""";29.5;Domin
"""09""";"""7""";42;Domin
"""09""";"""8""";63;Domin
"""09""";"""9""";85;Domin
"""09""";"""10""";99;Domin
"""102""";"""1""";1;Hill
"""102""";"""2""";3.5;Hill
"""102""";"""3""";7.5;Hill
"""102""";"""4""";15;Hill
"""102""";"""5""";60;Hill
"""103""";"""1""";2.5;Hult
"""103""";"""2""";7.5;Hult
"""103""";"""3""";18.75;Hult
"""103""";"""4""";37.5;Hult
"""103""";"""5""";75;Hult
"""108""";"""1""";0.5;Hurst & Allen
"""108""";"""2""";3;Hurst & Allen
"""108""";"""3""";15.5;Hurst & Allen
"""108""";"""4""";38;Hurst & Allen
"""108""";"""5""";63;Hurst & Allen
"""108""";"""6""";88;Hurst & Allen
"""03""";"""r1""";1;Londo
"""03""";"""p1""";1;Londo
"""03""";"""a1""";1;Londo
"""03""";"""m1""";1;Londo
"""03""";"""r2""";2;Londo
"""03""";"""p2""";2;Londo
"""03""";"""a2""";2;Londo
"""03""";"""m2""";2;Londo
"""03""";"""r4""";4;Londo
"""03""";"""p4""";4;Londo
"""03""";"""a4""";4;Londo
"""03""";"""m4""";4;Londo
"""03""";"""-1""";7;Londo
"""03""";"""1""";10;Londo
"""03""";"""1+""";12;Londo
"""03""";"""-2""";17;Londo
"""03""";"""2""";20;Londo
"""03""";"""2+""";22;Londo
"""03""";"""-3""";27;Londo
"""03""";"""3""";30;Londo
"""03""";"""3+""";32;Londo
"""03""";"""-4""";37;Londo
"""03""";"""4""";40;Londo
"""03""";"""4+""";42;Londo
"""03""";"""-5""";47;Londo
"""03""";"""5""";50;Londo
"""03""";"""5+""";52;Londo
"""03""";"""-6""";57;Londo
"""03""";"""6""";60;Londo
"""03""";"""6+""";62;Londo
"""03""";"""-7""";67;Londo
"""03""";"""7""";70;Londo
"""03""";"""7+""";72;Londo
"""03""";"""-8""";77;Londo
"""03""";"""8""";80;Londo
"""03""";"""8+""";82;Londo
"""03""";"""-9""";87;Londo
"""03""";"""9""";90;Londo
"""03""";"""9+""";92;Londo
"""03""";"""10""";97;Londo
"""101""";"""*1""";0.5;Londo_2
"""101""";"""*2""";2;Londo_2
"""101""";"""*4""";4;Londo_2
"""101""";"""1""";990;Londo_2
"""101""";"""2""";20;Londo_2
"""101""";"""3""";30;Londo_2
"""101""";"""4""";40;Londo_2
"""101""";"""5""";50;Londo_2
"""101""";"""6""";60;Londo_2
"""101""";"""7""";70;Londo_2
"""101""";"""8""";80;Londo_2
"""101""";"""9""";90;Londo_2
"""101""";"""10""";97;Londo_2
"""104""";"""1""";0.1;North-Carolina
"""104""";"""2""";0.5;North-Carolina
"""104""";"""3""";1.5;North-Carolina
"""104""";"""4""";3.5;North-Carolina
"""104""";"""5""";7.5;North-Carolina
"""104""";"""6""";17.5;North-Carolina
"""104""";"""7""";37.5;North-Carolina
"""104""";"""8""";62.5;North-Carolina
"""104""";"""9""";85;North-Carolina
"""104""";"""10""";97.5;North-Carolina
"""106""";"""+""";1;Pfadenhauer
"""106""";"""1a""";2;Pfadenhauer
"""106""";"""1b""";4;Pfadenhauer
"""106""";"""2a""";990;Pfadenhauer
"""106""";"""2b""";20;Pfadenhauer
"""106""";"""3""";38;Pfadenhauer
"""106""";"""4""";63;Pfadenhauer
"""106""";"""5""";88;Pfadenhauer
"""117""";"""r""";0.005;Pignatti
"""117""";"""+""";0.5;Pignatti
"""117""";"""1""";3;Pignatti
"""117""";"""2""";30;Pignatti
"""117""";"""3""";38;Pignatti
"""117""";"""4""";63;Pignatti
"""117""";"""5""";88;Pignatti
