VERSION;LINK
Austria;https://vegapp.de/data/species/Austria.zip
Britain and Ireland;https://vegapp.de/data/species/Britain_Ireland.zip
Cantabrian Mts;https://vegapp.de/data/species/Cantabrian_Mts.zip
Czech Rep_Danih;https://vegapp.de/data/species/Czech_Republic.zip
Czech Rep_Kubat;https://vegapp.de/data/species/Czech_Republic_Kubat.zip
Euro+Med;https://vegapp.de/data/species/EuroMed.zip
France;https://vegapp.de/data/species/France.zip
Germany;https://vegapp.de/data/species/GermanSL.zip
Germany Buttler;https://vegapp.de/data/species/Germany_kpb.zip
Hawaii;https://vegapp.de/data/species/Hawaii.zip
Italy (2018);https://vegapp.de/data/species/Italy_2018.zip
Italy (2024);https://vegapp.de/data/species/Italy_2024.zip
New Caledonia;https://vegapp.de/data/species/New_Caledonia.zip
New Zealand;https://vegapp.de/data/species/New_Zealand.zip
North America;https://vegapp.de/data/species/North_America.zip
South Africa;https://vegapp.de/data/species/South_Africa.zip
Spain;https://vegapp.de/data/species/Spain.zip
Switzerland;https://vegapp.de/data/species/Switzerland.zip
